date,mxn
3/7/2018,18.698299
3/8/2018,18.625
3/9/2018,18.601
3/12/2018,18.575899
3/13/2018,18.599581
3/14/2018,18.5725
3/15/2018,18.6873
3/16/2018,18.674601
3/19/2018,18.6973
3/20/2018,18.7439
3/21/2018,18.44355
3/22/2018,18.673941
3/23/2018,18.510099
3/26/2018,18.32774
3/27/2018,18.38052
3/28/2018,18.32155
3/29/2018,18.1682
3/30/2018,18.16684
4/2/2018,18.2255
4/3/2018,18.223261
4/4/2018,18.223261
4/5/2018,18.099001
4/6/2018,18.218201
4/9/2018,18.30344
4/10/2018,18.3312
4/11/2018,18.2386
4/12/2018,18.1936
4/13/2018,18.1712
4/16/2018,18.05303
4/17/2018,17.991899
4/18/2018,18.024401
4/19/2018,18.07585
4/20/2018,18.44693
4/23/2018,18.5201
4/24/2018,18.926701
4/25/2018,18.81163
4/26/2018,18.8465
4/27/2018,18.758301
4/30/2018,18.636999
5/1/2018,18.6971
5/2/2018,18.935499
5/3/2018,19.090799
5/4/2018,19.0459
5/7/2018,19.254499
5/8/2018,19.4251
5/9/2018,19.548599
5/10/2018,19.5672
5/11/2018,19.2369
5/14/2018,19.3424
5/15/2018,19.576599
5/16/2018,19.669399
5/17/2018,19.562599
5/18/2018,19.748699
5/21/2018,19.889851
5/22/2018,19.823601
5/23/2018,19.76244
5/24/2018,19.634399
5/25/2018,19.566401
5/28/2018,19.533051
5/29/2018,19.58605
5/30/2018,19.839849
5/31/2018,19.7752
6/1/2018,19.9035
6/4/2018,19.942419
6/5/2018,20.063311
6/6/2018,20.3939
6/7/2018,20.2936
6/8/2018,20.4177
6/11/2018,20.3258
6/12/2018,20.561501
6/13/2018,20.6922
6/14/2018,20.654301
6/15/2018,20.8386
6/18/2018,20.682819
6/19/2018,20.5497
6/20/2018,20.510401
6/21/2018,20.359501
6/22/2018,20.310301
6/25/2018,20.0305
6/26/2018,19.9058
6/27/2018,19.92259
6/28/2018,20.154751
6/29/2018,19.7293
7/2/2018,19.7943
7/3/2018,19.964001
7/4/2018,19.493299
7/5/2018,19.423901
7/6/2018,19.252529
7/9/2018,19.0611
7/10/2018,19.1777
7/11/2018,19.0119
7/12/2018,19.058599
7/13/2018,18.96969
7/16/2018,18.90201
7/17/2018,18.833
7/18/2018,18.8848
7/19/2018,18.8894
7/20/2018,19.03553
7/23/2018,19.021061
7/24/2018,18.902399
7/25/2018,18.8547
7/26/2018,18.655199
7/27/2018,18.632401
7/30/2018,18.606701
7/31/2018,18.530581
8/1/2018,18.66489
8/2/2018,18.590099
8/3/2018,18.634001
8/6/2018,18.568649
8/7/2018,18.52659
8/8/2018,18.4433
8/9/2018,18.4576
8/10/2018,18.7215
8/13/2018,19.067699
8/14/2018,19.130699
8/15/2018,18.879801
8/16/2018,19.184
8/17/2018,19.0075
